_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,The Heritage Nursing Home - 3rd Fl,1195 Queen St E,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-06-11,,Y
2,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Pending,None,2025-06-10,,Y
3,One Kenton Place - 1st & 2nd Fl,1 Kenton Dr,Retirement Home,Respiratory,Pending,None,2025-06-09,,Y
4,The O'Neill Centre - 3rd Fl,33 Christie St,LTCH,Respiratory,Pending,None,2025-06-09,,Y
5,Rockcliffe Care Community - Ground Fl,3015 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,None,2025-06-07,,Y
6,Chartwell Gibson - 2nd & 4th Fl,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,None,2025-06-06,,Y
7,Trillium Health Partners - McCall Centre for Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2025-06-05,,Y
8,Trillium Health Partners - McCall Centre for Continuing Care - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2025-06-03,,Y
9,Lakeshore Lodge - 3 South & 3 North,3197 Lakeshore Blvd W,LTCH,Respiratory,Metapneumovirus,None,2025-06-02,,Y
10,Nisbet Lodge - 6th Fl,740 Pape Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-06-02,,Y
11,Belmont House - 2 East,55 Belmont St,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-06-01,2025-06-11,N
12,Weston Terrace Care Community - 2A,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-05-30,,Y
13,Kipling Acres - 1 South Pinepoint,2233 Kipling Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-05-27,2025-06-05,N
14,Rockcliffe Care Community - 1st Fl,3015 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,None,2025-05-27,2025-06-02,N
15,Lakeshore Lodge - 2 South,3197 Lakeshore Blvd W,LTCH,Respiratory,Metapneumovirus,None,2025-05-26,2025-05-28,N
16,Baycrest Apotex Centre - Jewish Home for the Aged - 2EI,3560 Bathurst St,LTCH,Respiratory,Metapneumovirus,None,2025-05-26,2025-06-07,N
17,Wesburn Manor - 4 North,400 The West Mall,LTCH,Respiratory,Rhinovirus,None,2025-05-26,2025-06-06,N
18,"Kensington Gardens (South Building) - 1W, 1E & 4E",25 Brunswick Ave,LTCH,Respiratory,Coronavirus*,None,2025-05-25,,Y
19,Kennedy Lodge - 1st & 2nd Fl,1400 Kennedy Rd,LTCH,Respiratory,Parainfluenza,None,2025-05-24,,Y
20,Eatonville Care Centre - 5th Fl,420 The East Mall,LTCH,Respiratory,Metapneumovirus,None,2025-05-23,,Y
21,The Millwood Retirement Residence,390 Millwood Rd,Retirement Home,Respiratory,Parainfluenza,None,2025-05-22,2025-06-08,N
22,Harold and Grace Baker Centre Nursing Home - C Wing,1 Northwestern Ave,LTCH,Respiratory,Rhinovirus,None,2025-05-21,2025-06-02,N
23,Rayoak Place Retirement Home,1340 York Mills Rd,Retirement Home,Respiratory,Metapneumovirus,None,2025-05-21,2025-06-03,N
24,Kennedy Lodge - 3rd Fl,1400 Kennedy Rd,LTCH,Respiratory,Metapneumovirus,None,2025-05-21,,Y
